species,common_name,spp
Acer rubrum,red maple,acru
Acer saccharinum,silver maple,acsi
Acer saccharum,sugar maple,acsu
Cercis canadensis,eastern redbud,ceca
Cornus florida,flowering dogwood,cofl
Fagus grandifolia,American beech,fagr
Fagus sylvatica,European beech,fasy
Gymnocladus dioicius,Kentucky coffeetree,gydi
Liriodendron tulipifera,tuliptree,litu
Metasequoia glyptostroboides,dawn redwood,megl
Ostrya virginiana,hophornbeam,osvi
Pinus strobus,eastern white pine,pist
Platanus occidentalis,American sycamore,ploc
Quercus alba,white oak,qual
Quercus macrocarpa,bur oak,quma
Quercus rubra,northern red oak,quru
Ulmus americana,American elm,ulam
